SEASON_ID_x,Player_ID,Game_ID,GAME_DATE_x,MATCHUP_x,WL_x,MIN_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PLUS_MINUS_x,VIDEO_AVAILABLE,PTS/48,SEASON_ID_y,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE_y,MATCHUP_y,WL_y,MIN_y,PTS_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PLUS_MINUS_y
22018,201566,0021800670,"JAN 17, 2019",OKC vs. LAL,L,43,7,30,0.233,5,12,0.417,7,10,0.7,2,7,9,13,1,1,3,5,26,5,1,29.023255813953487,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800670,2019-01-17,OKC vs. LAL,L,265.0,128.0,41.0,104.0,0.394,22.0,54.0,0.407,24.0,36.0,0.667,15.0,29.0,44.0,31.0,10.0,4.0,15.0,22.0,-10.0
22018,201566,0021800653,"JAN 15, 2019",OKC @ ATL,L,36,10,21,0.476,0,3,0.0,11,14,0.786,2,4,6,11,5,0,2,2,31,1,1,41.333333333333336,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800653,2019-01-15,OKC @ ATL,L,240.0,126.0,43.0,94.0,0.457,9.0,32.0,0.281,31.0,41.0,0.756,15.0,25.0,40.0,22.0,16.0,3.0,12.0,18.0,-16.0
22018,201566,0021800634,"JAN 12, 2019",OKC vs. SAS,W,33,9,24,0.375,1,2,0.5,5,5,1.0,2,8,10,7,2,0,4,4,24,7,1,34.90909090909091,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800634,2019-01-12,OKC vs. SAS,W,240.0,122.0,43.0,93.0,0.462,11.0,23.0,0.478,25.0,29.0,0.862,7.0,40.0,47.0,27.0,10.0,5.0,7.0,16.0,10.0
22018,201566,0021800619,"JAN 10, 2019",OKC @ SAS,L,50,11,22,0.5,0,4,0.0,2,5,0.4,2,11,13,24,2,0,3,4,24,-5,1,23.04,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800619,2019-01-10,OKC @ SAS,L,291.0,147.0,58.0,114.0,0.509,15.0,35.0,0.429,16.0,24.0,0.667,14.0,35.0,49.0,33.0,8.0,5.0,13.0,24.0,-7.0
22018,201566,0021800603,"JAN 08, 2019",OKC vs. MIN,L,39,11,22,0.5,1,6,0.167,2,2,1.0,1,4,5,16,1,2,7,2,25,7,1,30.769230769230774,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800603,2019-01-08,OKC vs. MIN,L,240.0,117.0,43.0,85.0,0.506,12.0,30.0,0.4,19.0,26.0,0.731,10.0,33.0,43.0,22.0,4.0,5.0,16.0,30.0,-2.0
22018,201566,0021800588,"JAN 06, 2019",OKC vs. WAS,L,37,9,23,0.391,2,5,0.4,2,6,0.333,2,13,15,13,0,1,8,2,22,-7,1,28.54054054054054,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800588,2019-01-06,OKC vs. WAS,L,240.0,98.0,38.0,88.0,0.432,10.0,25.0,0.4,12.0,19.0,0.632,7.0,34.0,41.0,22.0,8.0,3.0,14.0,17.0,-18.0
22018,201566,0021800575,"JAN 04, 2019",OKC @ POR,W,37,13,28,0.464,0,2,0.0,5,6,0.833,0,9,9,7,1,0,3,3,31,7,1,40.21621621621622,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800575,2019-01-04,OKC @ POR,W,242.0,111.0,40.0,94.0,0.426,8.0,25.0,0.32,23.0,26.0,0.885,11.0,38.0,49.0,18.0,9.0,6.0,10.0,21.0,2.0
22018,201566,0021800562,"JAN 02, 2019",OKC @ LAL,W,36,3,20,0.15,1,7,0.143,7,10,0.7,1,15,16,10,2,2,4,4,14,1,1,18.666666666666668,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800562,2019-01-02,OKC @ LAL,W,239.0,107.0,40.0,105.0,0.381,7.0,31.0,0.226,20.0,31.0,0.645,17.0,47.0,64.0,22.0,8.0,5.0,11.0,24.0,7.0
22018,201566,0021800547,"DEC 31, 2018",OKC vs. DAL,W,35,13,24,0.542,0,1,0.0,6,6,1.0,0,11,11,11,4,0,5,4,32,22,1,43.885714285714286,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800547,2018-12-31,OKC vs. DAL,W,241.0,122.0,46.0,103.0,0.447,6.0,24.0,0.25,24.0,35.0,0.686,11.0,35.0,46.0,22.0,13.0,3.0,10.0,30.0,20.0
22018,201566,0021800539,"DEC 30, 2018",OKC @ DAL,L,38,4,22,0.182,0,8,0.0,1,2,0.5,0,9,9,8,6,0,5,2,9,-4,1,11.368421052631579,22018,1610612760.0,OKC,Oklahoma City Thunder,0021800539,2018-12-30,OKC @ DAL,L,241.0,103.0,40.0,93.0,0.43,9.0,38.0,0.237,14.0,21.0,0.667,7.0,32.0,39.0,17.0,15.0,2.0,11.0,23.0,-2.0
