SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22018,1610612760,OKC,Oklahoma City Thunder,0021800002,2018-10-16,OKC @ GSW,L,240,100,33,91,0.363,10,37,0.27,24,37,0.649,16,29,45,21,12,6,14,21,-8.0
12018,1610612760,OKC,Oklahoma City Thunder,0011800056,2018-10-09,OKC vs. MIL,W,264,119,41,106,0.387,13,36,0.361,24,35,0.686,19,38,57,21,14,12,14,28,4.0
12018,1610612760,OKC,Oklahoma City Thunder,0011800043,2018-10-07,OKC vs. ATL,W,240,113,38,93,0.409,9,33,0.273,28,36,0.778,15,36,51,16,14,8,21,30,19.0
12018,1610612760,OKC,Oklahoma City Thunder,0011800034,2018-10-05,OKC @ MIN,W,242,113,43,95,0.453,8,27,0.296,19,26,0.731,16,41,57,23,7,7,15,28,12.0
12018,1610612760,OKC,Oklahoma City Thunder,0011800023,2018-10-03,OKC vs. DET,L,240,91,30,82,0.366,9,20,0.45,22,28,0.786,14,33,47,21,6,3,16,25,-6.0
22018,1610612760,OKC,Oklahoma City Thunder,1521800067,2018-07-13,OKC vs. ORL,W,201,87,32,65,0.492,8,19,0.421,15,22,0.682,4,28,32,18,10,4,15,19,2.2
22018,1610612760,OKC,Oklahoma City Thunder,1521800056,2018-07-12,OKC vs. MEM,L,199,85,31,69,0.449,5,21,0.238,18,25,0.72,7,27,34,18,11,6,18,25,-7.0
22018,1610612760,OKC,Oklahoma City Thunder,1521800032,2018-07-09,OKC vs. TOR,W,200,92,33,63,0.524,10,17,0.588,16,31,0.516,11,31,42,19,6,7,18,20,10.0
22018,1610612760,OKC,Oklahoma City Thunder,1521800015,2018-07-07,OKC @ BKN,W,199,90,36,88,0.409,5,21,0.238,13,18,0.722,14,43,57,19,10,5,16,19,15.8
22018,1610612760,OKC,Oklahoma City Thunder,1521800004,2018-07-06,OKC @ CHA,L,199,87,34,78,0.436,3,16,0.188,16,27,0.593,10,35,45,21,10,4,20,21,-3.6
42017,1610612760,OKC,Oklahoma City Thunder,0041700176,2018-04-27,OKC @ UTA,L,239,91,37,93,0.398,10,34,0.294,7,13,0.538,15,34,49,20,6,4,13,21,-5.0
42017,1610612760,OKC,Oklahoma City Thunder,0041700175,2018-04-25,OKC vs. UTA,W,240,107,39,89,0.438,9,21,0.429,20,24,0.833,7,37,44,13,9,3,8,21,8.0
42017,1610612760,OKC,Oklahoma City Thunder,0041700174,2018-04-23,OKC @ UTA,L,238,96,33,84,0.393,5,26,0.192,25,30,0.833,9,37,46,10,8,6,14,21,-17.0
42017,1610612760,OKC,Oklahoma City Thunder,0041700173,2018-04-21,OKC @ UTA,L,239,102,37,78,0.474,14,28,0.5,14,19,0.737,6,27,33,17,11,3,17,23,-13.0
42017,1610612760,OKC,Oklahoma City Thunder,0041700172,2018-04-18,OKC vs. UTA,L,239,95,36,90,0.4,11,35,0.314,12,18,0.667,10,36,46,22,11,4,13,25,-7.0
42017,1610612760,OKC,Oklahoma City Thunder,0041700171,2018-04-15,OKC vs. UTA,W,240,116,41,85,0.482,14,29,0.483,20,23,0.87,9,37,46,16,8,5,17,19,8.0
22017,1610612760,OKC,Oklahoma City Thunder,0021701227,2018-04-11,OKC vs. MEM,W,241,137,47,85,0.553,20,43,0.465,23,32,0.719,8,37,45,32,8,3,14,23,14.0
22017,1610612760,OKC,Oklahoma City Thunder,0021701206,2018-04-09,OKC @ MIA,W,241,115,35,81,0.432,14,35,0.4,31,38,0.816,7,36,43,21,9,4,9,15,22.0
